filename,receipt_count,is_stapled
receipt_collage_00000.png,1,False
receipt_collage_00001.png,4,False
receipt_collage_00002.png,2,False
receipt_collage_00003.png,1,False
receipt_collage_00004.png,0,False
receipt_collage_00005.png,0,False
receipt_collage_00006.png,0,False
receipt_collage_00007.png,3,True
receipt_collage_00008.png,2,True
receipt_collage_00009.png,2,False
receipt_collage_00010.png,0,False
receipt_collage_00011.png,4,True
receipt_collage_00012.png,3,False
receipt_collage_00013.png,0,False
receipt_collage_00014.png,0,False
receipt_collage_00015.png,0,False
receipt_collage_00016.png,1,False
receipt_collage_00017.png,1,False
receipt_collage_00018.png,1,False
receipt_collage_00019.png,0,False
receipt_collage_00020.png,2,False
receipt_collage_00021.png,0,False
receipt_collage_00022.png,0,False
receipt_collage_00023.png,1,False
receipt_collage_00024.png,1,False
receipt_collage_00025.png,2,False
receipt_collage_00026.png,0,False
receipt_collage_00027.png,1,False
receipt_collage_00028.png,1,False
receipt_collage_00029.png,0,False
receipt_collage_00030.png,2,False
receipt_collage_00031.png,0,False
receipt_collage_00032.png,0,False
receipt_collage_00033.png,4,True
receipt_collage_00034.png,4,False
receipt_collage_00035.png,3,True
receipt_collage_00036.png,1,False
receipt_collage_00037.png,0,False
receipt_collage_00038.png,2,False
receipt_collage_00039.png,1,False
receipt_collage_00040.png,0,False
receipt_collage_00041.png,1,False
receipt_collage_00042.png,0,False
receipt_collage_00043.png,4,False
receipt_collage_00044.png,0,False
receipt_collage_00045.png,2,True
receipt_collage_00046.png,1,False
receipt_collage_00047.png,1,False
receipt_collage_00048.png,1,False
receipt_collage_00049.png,0,False
receipt_collage_00050.png,4,False
receipt_collage_00051.png,2,False
receipt_collage_00052.png,4,False
receipt_collage_00053.png,3,False
receipt_collage_00054.png,1,False
receipt_collage_00055.png,4,False
receipt_collage_00056.png,0,False
receipt_collage_00057.png,0,False
receipt_collage_00058.png,0,False
receipt_collage_00059.png,1,False
receipt_collage_00060.png,1,False
receipt_collage_00061.png,0,False
receipt_collage_00062.png,3,False
receipt_collage_00063.png,1,False
receipt_collage_00064.png,0,False
receipt_collage_00065.png,1,False
receipt_collage_00066.png,0,False
receipt_collage_00067.png,3,False
receipt_collage_00068.png,0,False
receipt_collage_00069.png,4,False
receipt_collage_00070.png,2,False
receipt_collage_00071.png,0,False
receipt_collage_00072.png,0,False
receipt_collage_00073.png,3,True
receipt_collage_00074.png,2,True
receipt_collage_00075.png,2,False
receipt_collage_00076.png,2,False
receipt_collage_00077.png,0,False
receipt_collage_00078.png,1,False
receipt_collage_00079.png,0,False
receipt_collage_00080.png,3,False
receipt_collage_00081.png,2,False
receipt_collage_00082.png,1,False
receipt_collage_00083.png,0,False
receipt_collage_00084.png,1,False
receipt_collage_00085.png,1,False
receipt_collage_00086.png,2,False
receipt_collage_00087.png,2,True
receipt_collage_00088.png,3,False
receipt_collage_00089.png,1,False
receipt_collage_00090.png,0,False
receipt_collage_00091.png,2,False
receipt_collage_00092.png,2,False
receipt_collage_00093.png,1,False
receipt_collage_00094.png,2,True
receipt_collage_00095.png,1,False
receipt_collage_00096.png,1,False
receipt_collage_00097.png,1,False
receipt_collage_00098.png,0,False
receipt_collage_00099.png,0,False
